ID	Project	Region_People	Time	Group
S21ZYC6	CMP_multitime	P6	2021_03	
S21ZYC7	CMP_multitime	P7	2021_03	
S21ZYD1	CMP_multitime	P1	2021_04	
S21ZYD2	CMP_multitime	P2	2021_04	
S21ZYD4	CMP_multitime	P4	2021_04	
S21ZYD5	CMP_multitime	P5	2021_04	
S21ZYD6	CMP_multitime	P6	2021_04	
S21ZYD7	CMP_multitime	P7	2021_04	
S21ZYE1	CMP_multitime	P1	2021_05	
S21ZYE2	CMP_multitime	P2	2021_05	
S21ZYE4	CMP_multitime	P4	2021_05	
S21ZYE5	CMP_multitime	P5	2021_05	
S21ZYE6	CMP_multitime	P6	2021_05	
S21ZYE7	CMP_multitime	P7	2021_05	
21ZYF1	CMP_multitime	P1	2021_06	
21ZYF2	CMP_multitime	P2	2021_06	
21ZYF5	CMP_multitime	P5	2021_06	
21ZYF6	CMP_multitime	P6	2021_06	
21ZYG6	CMP_multitime	P6	2021_07	
21ZYJ2	CMP_multitime	P2	2021_10	
21ZYJ4	CMP_multitime	P4	2021_10	
21ZYJ5	CMP_multitime	P5	2021_10	
21ZYJ6	CMP_multitime	P6	2021_10	
21ZYK4	CMP_multitime	P4	2021_11	
21ZYK5	CMP_multitime	P5	2021_11	
21ZYK6	CMP_multitime	P6	2021_11	
21ZYL1	CMP_multitime	P1	2021_12	
21ZYL4	CMP_multitime	P4	2021_12	
21ZYL6	CMP_multitime	P6	2021_12	
21ZYL7	CMP_multitime	P7	2021_12	
22ZYA1	CMP_multitime	P1	2022_01	
22ZYA2	CMP_multitime	P2	2022_01	
22ZYA4	CMP_multitime	P4	2022_01	
22ZYA5	CMP_multitime	P5	2022_01	
22ZYA7	CMP_multitime	P7	2022_01	
22ZYB1	CMP_multitime	P1	2022_02	
22ZYB2	CMP_multitime	P2	2022_02	
22ZYB5	CMP_multitime	P5	2022_02	
22ZYB6	CMP_multitime	P6	2022_02	
22ZYB7	CMP_multitime	P7	2022_02	
22ZYC1	CMP_multitime	P1	2022_03	
22ZYC2	CMP_multitime	P2	2022_03	
22ZYC5	CMP_multitime	P5	2022_03	
22ZYC6	CMP_multitime	P6	2022_03	
22ZYD1	CMP_multitime	P1	2022_04	
22ZYD2	CMP_multitime	P2	2022_04	
22ZYD5	CMP_multitime	P5	2022_04	
22ZYD6	CMP_multitime	P6	2022_04	
22ZYD7	CMP_multitime	P7	2022_04	
22ZYF1	CMP_multitime	P1	2022_06	
22ZYF2	CMP_multitime	P2	2022_06	
22ZYF5	CMP_multitime	P5	2022_06	
22ZYF6	CMP_multitime	P6	2022_06	
22ZYF7	CMP_multitime	P7	2022_06	
22ZYG1	CMP_multitime	P1	2022_07	
22ZYG5	CMP_multitime	P5	2022_07	
22ZYG6	CMP_multitime	P6	2022_07	
22ZYG7	CMP_multitime	P7	2022_07	
22ZYI1	CMP_multitime	P1	2022_09	
22ZYI2	CMP_multitime	P2	2022_09	
22ZYI4	CMP_multitime	P4	2022_09	
22ZYI5	CMP_multitime	P5	2022_09	
22ZYI6	CMP_multitime	P6	2022_09	
22ZYI7	CMP_multitime	P7	2022_09	
22ZYJ1	CMP_multitime	P1	2022_10	
22ZYJ2	CMP_multitime	P2	2022_10	
22ZYJ4	CMP_multitime	P4	2022_10	
22ZYJ5	CMP_multitime	P5	2022_10	
22ZYJ6	CMP_multitime	P6	2022_10	
